"key_set","harmony_group","chord_symbol_a","chord_symbol_b","chord_symbol_c","note_a","note_b","note_c"
0,0,0,,,12,17,20
0,0,0,,,12,20,29
0,0,0,,"Δ",1,8,17
0,1,9,"min",,12,20,27
0,1,9,"min",,12,15,20
0,1,9,"min","9",1,8,15
0,1,9,"min","7",8,17,27
0,2,5,,"+4",1,7,15
0,3,2,"min","7 add13",1,7,10
0,4,7,,"add4",1,10,17
0,4,7,,"add4",10,17,25
0,5,4,,"7 +5",10,16,20
1,0,0,,"Δ",7,16,23
1,0,0,,"Δ",11,16,19
1,0,0,,"Δ",11,19,28
1,1,9,"min","9",7,11,14
1,1,9,"min","9",7,14,23
1,2,5,,"+4",11,18,26
1,3,2,"min","7 add13",6,11,21
1,4,7,,"7",9,18,28
1,4,7,,"7",6,16,21
3,0,9,"min",,5,12,21
3,1,7,,"7 add9",10,16,26
3,1,7,,"7 add9",4,14,22
4,0,4,,"7 +5",8,18,28
5,0,0,,,7,15,19
5,0,0,,,12,19,27
5,0,0,,"Δ",8,15,19
5,0,0,,"Δ",8,19,27
5,1,9,"min","7",7,15,22
5,1,9,"min","7",10,15,19
5,1,9,"min","7",10,19,27
7,0,0,,"add4",10,17,25
7,1,5,,"+4",6,17,20
8,0,0,,,9,12,16
8,0,0,,,12,16,21
8,0,0,,"Δ",5,9,16
8,0,0,,"Δ",5,16,21
8,1,9,"min",,12,16,19
8,1,9,"min",,12,19,28
8,1,9,"min","7",9,16,19
10,0,0,,"add2",10,19,26
10,0,0,,"add2",7,14,22
10,0,0,,"add2",10,14,19
10,0,0,,"Δ add9",10,15,26
10,0,0,,"Δ add9",14,15,22
10,1,9,"min","add4",10,14,17
10,1,9,"min","add4",10,17,26
10,2,7,,"7",9,15,19
10,2,7,,"7",9,19,27
